type,audit_value,audit_origin,audit_class,audit_category,severity,audit_description
AA,1500,KERN,?,system,unknown,
ACCT_LOCK,1135,USER,IND,user,informational,User's account locked by admin
ACCT_UNLOCK,1136,USER,IND,user,informational,User's account unlocked by admin
ADD,1003,USER,DEP,mac,informational,Add syscall rule -- deprecated
ADD_GROUP,1116,USER,IND,user,medium,Group account added
ADD_RULE,1011,USER,CTL,mac,informational,Add syscall filtering rule
ADD_USER,1114,USER,IND,user,medium,User account added
ANOM_ABEND,1701,KERN,IND,system,medium,Process ended abnormally
ANOM_ACCESS_FS,2111,USER,IND,system,critical,Access of file or directory ended abnormally
ANOM_ADD_ACCT,2114,USER,IND,user,critical,Adding a user account ended abnormally
ANOM_AMTU_FAIL,2107,USER,IND,system,critical,AMTU (Abstract Machine Test Utility) failure
ANOM_CRYPTO_FAIL,2110,USER,IND,system,critical,Crypto system test failure
ANOM_DEL_ACCT,2115,USER,IND,user,critical,Deleting a user account ended abnormally
ANOM_EXEC,2112,USER,IND,system,critical,Execution of file ended abnormally
ANOM_LINK,1702,KERN,SC,system,critical,Suspicious use of file links
ANOM_LOGIN_ACCT,2103,USER,IND,user,critical,Login attempted to watched account
ANOM_LOGIN_FAILURES,2100,USER,IND,user,critical,Failed login limit reached
ANOM_LOGIN_LOCATION,2104,USER,IND,user,critical,Login from forbidden location
ANOM_LOGIN_SESSIONS,2102,USER,IND,user,critical,Maximum concurrent sessions reached
ANOM_LOGIN_TIME,2101,USER,IND,user,critical,Login attempted at bad time
ANOM_MAX_DAC,2105,USER,IND,system,critical,Max DAC (Discretionary Access Control) failures reached
ANOM_MAX_MAC,2106,USER,IND,mac,critical,Max MAC (Mandatory Access Control) failures reached
ANOM_MK_EXEC,2113,USER,IND,system,critical,Make an executable
ANOM_MOD_ACCT,2116,USER,IND,user,critical,Changing an account ended abnormally
ANOM_PROMISCUOUS,1700,KERN,SC/IND,system,medium,Device changed promiscuous mode
ANOM_RBAC_FAIL,2108,USER,IND,mac,critical,RBAC (Role-Based Access Control) self test failure
ANOM_RBAC_INTEGRITY_FAIL,2109,USER,IND,mac,critical,RBAC (Role-Based Access Control) file integrity test failure
ANOM_ROOT_TRANS,2117,USER,IND,user,critical,User became root
APPARMOR_ALLOWED,1502,KERN,SC,mac,medium,
APPARMOR_AUDIT,1501,KERN,SC,mac,medium,
APPARMOR_DENIED,1503,KERN,SC,mac,medium,
APPARMOR_ERROR,1506,KERN,SC,mac,medium,
APPARMOR_HINT,1504,KERN,SC,mac,medium,
APPARMOR_KILL,enum1507,KERN,SC,mac,medium,
APPARMOR_STATUS,1505,KERN,SC,mac,informational,
AVC,1400,KERN,SC,mac,medium,SELinux AVC (Access Vector Cache) denial or grant
AVC_PATH,1402,KERN,SC,mac,informational,"dentry, vfsmount pair from AVC"
BPRM_FCAPS,1321,KERN,SC,user,medium,Information about file system capabilities increasing permissions
CAPSET,1322,KERN,SC,user,medium,Record showing argument to sys_capset setting process-based capabilities
CHGRP_ID,1119,USER,IND,user,medium,User space group ID changed
CHUSER_ID,1125,USER,IND,user,medium,Changed user ID supplemental data
CONFIG_CHANGE,1305,KERN,IND,system,medium,Audit system configuration change
CRED_ACQ,1103,USER,IND,user,informational,User credential acquired
CRED_DISP,1104,USER,IND,user,informational,User credential disposed
CRED_REFR,1110,USER,IND,user,informational,User credential refreshed
CRYPTO_FAILURE_USER,2405,USER,IND,user,medium,"Fail decrypt, encrypt or randomize operation"
CRYPTO_IKE_SA,2408,USER,IND,user,informational,Parameters related to IKE SA
CRYPTO_IPSEC_SA,2409,USER,IND,user,informational,Parameters related to IPSEC SA
CRYPTO_KEY_USER,2404,USER,IND,user,informational,"Create, delete, negotiate cryptographic key identifier"
CRYPTO_LOGIN,2402,USER,IND,user,low,Cryptographic officer login
CRYPTO_LOGOUT,2403,USER,IND,user,low,Cryptographic officer logout
CRYPTO_PARAM_CHANGE_USER,2401,USER,IND,user,medium,Cryptographic attribute change
CRYPTO_REPLAY_USER,2406,USER,IND,user,critical,Cryptographic replay attack detected
CRYPTO_SESSION,2407,USER,IND,user,informational,Parameters set during TLS session establishment
CRYPTO_TEST_USER,2400,USER,IND,user,informational,Cryptographic test results
CWD,1307,KERN,SC,system,informational,Current working directory
DAC_CHECK,1118,USER,IND,system,informational,User space DAC check results
DAEMON_ABORT,1202,USER,IND,system,critical,Daemon error stop record
DAEMON_ACCEPT,1207,USER,IND,system,low,Auditd accepted remote connection
DAEMON_CLOSE,1208,USER,IND,system,low,Auditd closed remote connection
DAEMON_CONFIG,1203,USER,IND,system,medium,Daemon config change
DAEMON_END,1201,USER,IND,system,medium,Daemon normal stop record
DAEMON_ERR,1209,USER,IND,system,critical,Auditd internal error
DAEMON_RECONFIG,1204,USER,IND,system,critical,Auditd should reconfigure
DAEMON_RESUME,1206,USER,IND,system,medium,Auditd should resume logging
DAEMON_ROTATE,1205,USER,IND,system,low,Auditd should rotate logs
DAEMON_START,1200,USER,IND,system,medium,Daemon startup record
DEL,1004,USER,DEP,system,medium,Delete syscall rule -- deprecated
DEL_GROUP,1117,USER,IND,user,medium,Group account deleted
DEL_RULE,1012,USER,CTL,system,medium,Delete syscall filtering rule
DEL_USER,1115,USER,IND,user,medium,User account deleted
DEV_ALLOC,2307,USER,IND,system,medium,Device was allocated
DEV_DEALLOC,2308,USER,IND,system,medium,Device was deallocated
EOE,1320,KERN,CTL,system,informational,End of multi-record event
EXECVE,1309,KERN,SC,system,informational,Arguments supplied to the execve system call
